model,n_clusters,n_bits,query_image,precision,recall,ndcg,search_time_mean,search_time_std,birads_category
DenseNet121,4,4,0,0.9,0.011235955056179775,0.9770153702993118,0.000630740006454289,0.0010996454015308546,1
DenseNet121,4,4,10,0.8,0.009987515605493134,0.9933222998814617,5.2800006233155725e-05,1.8873555602228278e-05,1
DenseNet121,4,4,20,0.9,0.011235955056179775,0.9196461703481416,4.7919992357492444e-05,1.0760779146356832e-05,1
DenseNet121,4,8,0,0.9,0.011235955056179775,0.9842184869190973,9.003998711705208e-05,6.403317169471956e-05,1
DenseNet121,4,8,10,1.0,0.012484394506866416,1.0,6.359999533742667e-05,1.872208078345122e-05,1
DenseNet121,4,8,20,0.9,0.011235955056179775,0.9196461703481416,4.997998476028442e-05,1.3351007713802231e-05,1
DenseNet121,8,4,0,0.9,0.011235955056179775,0.9937947856332161,9.756002109497785e-05,7.976885241140122e-05,1
DenseNet121,8,4,10,0.9,0.011235955056179775,0.9667147927059906,7.042002398520708e-05,4.143008841153951e-05,1
DenseNet121,8,4,20,0.9,0.011235955056179775,0.9842184869190973,5.671998951584101e-05,2.159696296615988e-05,1
DenseNet121,8,8,0,0.8,0.009987515605493134,0.9249372331423045,0.00011889999732375144,9.66849452529529e-05,1
DenseNet121,8,8,10,0.9,0.011235955056179775,0.9895948844467957,8.422001264989376e-05,4.5929311375252575e-05,1
DenseNet121,8,8,20,0.9,0.011235955056179775,0.9196461703481416,6.661999505013228e-05,2.0300091893970893e-05,1
DenseNet121,16,4,0,0.8,0.009987515605493134,0.9782917460822231,0.00012186001986265182,0.00010030808327277709,1
DenseNet121,16,4,10,0.7,0.008739076154806492,0.9911205770005563,5.950001068413258e-05,2.4310645069837125e-05,1
DenseNet121,16,4,20,0.8,0.009987515605493134,0.9135277613190135,4.4899992644786835e-05,7.123474761767026e-06,1
DenseNet121,16,8,0,0.8,0.009987515605493134,0.9830168297915423,9.105999488383532e-05,5.42000499884823e-05,1
DenseNet121,16,8,10,0.9,0.011235955056179775,0.9937947856332161,7.301997393369675e-05,1.999731837799094e-05,1
DenseNet121,16,8,20,0.9,0.011235955056179775,0.9196461703481416,5.528000183403492e-05,9.762692929388802e-06,1
DenseNet121,32,4,0,0.7,0.008739076154806492,0.870392650794485,0.00012923998292535543,0.00010928526150061747,1
DenseNet121,32,4,10,0.7,0.008739076154806492,0.9044067485064367,0.00010810003150254487,7.230232599488423e-05,1
DenseNet121,32,4,20,0.8,0.009987515605493134,0.9918291064614978,6.323999259620905e-05,2.292829822449246e-05,1
DenseNet121,32,8,0,0.8,0.009987515605493134,0.9918291064614978,0.0001883000135421753,0.00015880906066298174,1
DenseNet121,32,8,10,0.8,0.009987515605493134,0.9860433320650158,7.718000560998916e-05,3.4226125241583645e-05,1
DenseNet121,32,8,20,0.9,0.011235955056179775,0.9842184869190973,6.53799856081605e-05,1.1594696885850771e-05,1
